seed,cost_suez,cost_cape,cost_basestock,cost_oracle,headroom,best_fixed,stress_disruption,stress_freight,stress_port,stress_quality,stress_supplier,stress_demand,max_overlap,overlap_weeks,spot_died,port_block_longest,fog_disruption,fog_freight,fog_port,fog_quality,fog_supplier,fog_demand,fog
103,6340.8240000000005,8461.235999999999,5526.9044,4826.787600000001,700.1167999999998,6340.8240000000005,1,5,2,0,14,12,3,12,1,1,0.0,0.3333333333333333,0.0,nan,0.5,3.0,0.7666666666666667
104,6206.207999999999,8554.311999999998,6278.332,7032.6732,-754.3411999999998,6206.207999999999,0,3,1,0,5,9,2,4,0,1,0.0,0.5,0.75,1.0,0.0,0.6666666666666666,0.4861111111111111
105,9971.255999999996,11822.383999999996,8334.545200000002,7582.632000000001,751.9132000000009,9971.255999999996,7,2,7,1,0,0,2,2,0,6,0.0,0.3333333333333333,0.0,0.0,nan,nan,0.08333333333333333
106,8515.352,10015.527999999998,7298.9728,6971.1324,327.84039999999914,8515.352,0,0,6,0,8,4,2,4,0,6,0.0,0.0,0.2,nan,0.0,0.0,0.04
107,6771.792,8816.687999999998,6017.7252,4868.5428,1149.1823999999997,6771.792,2,0,6,0,4,0,2,4,0,4,0.0,nan,0.2,0.0,0.0,nan,0.05
108,12024.384,13628.075999999997,9912.9072,8510.6636,1402.2435999999998,12024.384,2,0,12,0,6,7,4,6,0,8,0.0,0.0,1.0,1.0,0.4,0.5,0.48333333333333334
109,5569.784000000001,6294.176,5115.6939999999995,4504.160799999999,611.5332000000008,5569.784000000001,2,0,0,3,0,0,1,0,0,0,0.0,nan,0.0,0.3333333333333333,nan,nan,0.1111111111111111
110,6988.3600000000015,8163.040000000001,6136.232400000001,6074.446399999999,61.78600000000188,6988.3600000000015,2,0,3,4,1,8,2,5,0,3,0.0,0.0,0.0,nan,0.0,0.25,0.05
111,6009.647999999999,7782.472,6023.062800000001,5397.195199999998,625.8676000000023,6009.647999999999,0,0,1,0,0,8,2,1,0,1,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.27777777777777773
112,5125.584,7109.876,5185.318799999999,3982.7535999999996,1202.5651999999995,5125.584,0,0,0,0,0,7,1,0,0,0,0.0,0.0,nan,nan,nan,1.3333333333333333,0.4444444444444444
